Region,State,is_union_territory,Month,Quarter,Energy Requirement MU,Energy Availability MU,Energy_Deficit
North,Uttar Pradesh,0,Oct,Q4,12240.0,12231.0,9.0
North,Uttarakhand,0,Oct,Q4,1239.0,1230.0,9.0
Central,Chhattisgarh,0,Oct,Q4,3364.0,3355.0,9.0
West,Gujarat,0,Oct,Q4,13094.0,13094.0,0.0
Central,Madhya Pradesh,0,Oct,Q4,9011.0,9011.0,0.0
West,Maharashtra,0,Oct,Q4,18056.0,18051.0,5.0
West,Dadra & Nagar Haveli and Daman & Diu,1,Oct,Q4,897.0,897.0,0.0
West,Goa,0,Oct,Q4,374.0,374.0,0.0
South,Andhra Pradesh,0,Oct,Q4,7284.0,7281.0,3.0
South,Telangana,0,Oct,Q4,8168.0,8166.0,2.0
South,Karnataka,0,Oct,Q4,7777.0,7706.0,71.0
South,Kerala,0,Oct,Q4,2471.0,2470.0,1.0
South,Tamil Nadu,0,Oct,Q4,10712.0,10709.0,3.0
South,Puducherry,1,Oct,Q4,305.0,305.0,0.0
South,Lakshadweep,1,Oct,Q4,5.0,5.0,0.0
East,Bihar,0,Oct,Q4,3466.0,3383.0,83.0
East,Jharkhand,0,Oct,Q4,1196.0,1156.0,40.0
East,Odisha,0,Oct,Q4,3693.0,3683.0,10.0
East,West Bengal,0,Oct,Q4,5980.0,5973.0,7.0
Northeast,Sikkim,0,Oct,Q4,31.0,31.0,0.0
South,Andaman Nicobar,1,Oct,Q4,32.0,31.0,1.0
Northeast,Arunachal Pradesh,0,Oct,Q4,92.0,92.0,0.0
Northeast,Assam,0,Oct,Q4,1097.0,1093.0,4.0
Northeast,Manipur,0,Oct,Q4,82.0,82.0,0.0
Northeast,Meghalaya,0,Oct,Q4,180.0,176.0,4.0
Northeast,Mizoram,0,Oct,Q4,53.0,53.0,0.0
Northeast,Nagaland,0,Oct,Q4,82.0,82.0,0.0
Northeast,Tripura,0,Oct,Q4,161.0,161.0,0.0
North,Chandigarh,1,Nov,Q4,102.0,102.0,0.0
North,Delhi,1,Nov,Q4,2117.0,2117.0,0.0
North,Haryana,0,Nov,Q4,3915.0,3915.0,0.0
North,Himachal Pradesh,0,Nov,Q4,989.0,986.0,3.0
North,UTs of J&K and Ladakh,1,Nov,Q4,1586.0,1568.0,18.0
North,Punjab,0,Nov,Q4,3842.0,3842.0,0.0
North,Rajasthan,0,Nov,Q4,8760.0,8759.0,1.0
North,Uttar Pradesh,0,Nov,Q4,9616.0,9580.0,36.0
North,Uttarakhand,0,Nov,Q4,1102.0,1099.0,3.0
Central,Chhattisgarh,0,Nov,Q4,2709.0,2709.0,0.0
West,Gujarat,0,Nov,Q4,10857.0,10857.0,0.0
Central,Madhya Pradesh,0,Nov,Q4,9007.0,9007.0,0.0
West,Maharashtra,0,Nov,Q4,16754.0,16754.0,0.0
West,Dadra & Nagar Haveli and Daman & Diu,1,Nov,Q4,800.0,800.0,0.0
West,Goa,0,Nov,Q4,421.0,421.0,0.0
South,Andhra Pradesh,0,Nov,Q4,6314.0,6314.0,0.0
South,Telangana,0,Nov,Q4,6147.0,6147.0,0.0
South,Karnataka,0,Nov,Q4,7037.0,7037.0,0.0
South,Kerala,0,Nov,Q4,2421.0,2420.0,1.0
South,Tamil Nadu,0,Nov,Q4,8829.0,8829.0,0.0
South,Puducherry,1,Nov,Q4,255.0,255.0,0.0
South,Lakshadweep,1,Nov,Q4,5.0,5.0,0.0
East,Bihar,0,Nov,Q4,2549.0,2538.0,11.0
East,Jharkhand,0,Nov,Q4,1089.0,1061.0,28.0
East,Odisha,0,Nov,Q4,3019.0,3014.0,5.0
East,West Bengal,0,Nov,Q4,4753.0,4747.0,6.0
Northeast,Sikkim,0,Nov,Q4,41.0,40.0,1.0
South,Andaman Nicobar,1,Nov,Q4,33.0,31.0,2.0
Northeast,Arunachal Pradesh,0,Nov,Q4,82.0,82.0,0.0
Northeast,Assam,0,Nov,Q4,851.0,851.0,0.0
Northeast,Manipur,0,Nov,Q4,80.0,80.0,0.0
Northeast,Meghalaya,0,Nov,Q4,186.0,186.0,0.0
Northeast,Mizoram,0,Nov,Q4,58.0,58.0,0.0
Northeast,Nagaland,0,Nov,Q4,69.0,69.0,0.0
Northeast,Tripura,0,Nov,Q4,123.0,123.0,0.0
North,Chandigarh,1,Dec,Q4,117.0,117.0,0.0
North,Delhi,1,Dec,Q4,2229.0,2229.0,0.0
North,Haryana,0,Dec,Q4,4489.0,4489.0,0.0
North,Himachal Pradesh,0,Dec,Q4,1154.0,1152.0,2.0
North,UTs of J&K and Ladakh,1,Dec,Q4,1822.0,1809.0,13.0
North,Punjab,0,Dec,Q4,4291.0,4291.0,0.0
North,Rajasthan,0,Dec,Q4,9331.0,9327.0,4.0
North,Uttar Pradesh,0,Dec,Q4,9839.0,9839.0,0.0
North,Uttarakhand,0,Dec,Q4,1267.0,1263.0,4.0
Central,Chhattisgarh,0,Dec,Q4,2799.0,2799.0,0.0
West,Gujarat,0,Dec,Q4,11718.0,11717.0,1.0
Central,Madhya Pradesh,0,Dec,Q4,8968.0,8968.0,0.0
West,Maharashtra,0,Dec,Q4,16236.0,16236.0,0.0
West,Dadra & Nagar Haveli and Daman & Diu,1,Dec,Q4,881.0,881.0,0.0
West,Goa,0,Dec,Q4,424.0,424.0,0.0
South,Andhra Pradesh,0,Dec,Q4,5780.0,5779.0,1.0
South,Telangana,0,Dec,Q4,6435.0,6433.0,2.0
South,Karnataka,0,Dec,Q4,7742.0,7740.0,2.0
South,Kerala,0,Dec,Q4,2552.0,2551.0,1.0
South,Tamil Nadu,0,Dec,Q4,9353.0,9352.0,1.0
South,Puducherry,1,Dec,Q4,263.0,263.0,0.0
South,Lakshadweep,1,Dec,Q4,5.0,5.0,0.0
East,Bihar,0,Dec,Q4,2613.0,2596.0,17.0
East,Jharkhand,0,Dec,Q4,1379.0,1305.0,74.0
East,Odisha,0,Dec,Q4,2574.0,2572.0,2.0
East,West Bengal,0,Dec,Q4,4483.0,4479.0,4.0
Northeast,Sikkim,0,Dec,Q4,54.0,54.0,0.0
South,Andaman Nicobar,1,Dec,Q4,32.0,31.0,1.0
Northeast,Arunachal Pradesh,0,Dec,Q4,94.0,94.0,0.0
Northeast,Assam,0,Dec,Q4,818.0,818.0,0.0
Northeast,Manipur,0,Dec,Q4,98.0,96.0,2.0
Northeast,Meghalaya,0,Dec,Q4,199.0,197.0,2.0
Northeast,Mizoram,0,Dec,Q4,62.0,62.0,0.0
Northeast,Nagaland,0,Dec,Q4,74.0,74.0,0.0
Northeast,Tripura,0,Dec,Q4,116.0,116.0,0.0
